File,Zavg,betas,c8F1,c8f2,c8f3,mf1,mf2,mf3,rf1,rf2,rf3,tf1,tf2,tf3,c9f1,c9f2
run1_21_run1.dat,-4.52825807,[ 3.71679688  3.9375      2.37988281  0.28027344  0.0625      0.94042969 0.39648438],-0.671255422861,0.675493548387,-1.87100327,-0.915189945484,0.773875,-2.63807351,-0.47811615923,0.543648275862,-5.83680493,-0.516575277983,0.577742857143,-7.76715056,0.610373022079,0.625821818182
run1_11_run3.dat,-4.16594779,[ 2.77050781  1.53320312  1.40332031  1.99609375  0.09863281  0.50878906 0.20117188],-0.653642162239,0.678191129032,-1.57529816,-0.910800692876,0.77423,-2.65716732,-0.477442169668,0.535331034483,-5.09459284,-0.522315636062,0.580603571429,-7.33673285,0.591379763885,0.617023636364
run1_11_run0.dat,-3.45696784,[ 3.71679688  0.44824219  3.51074219  0.73144531  0.01757812  0.84082031 0.37304688],-0.66750298512,0.67940483871,-1.37641075,-0.913641569474,0.7745,-2.65797161,-0.479205059722,0.535755172414,-3.63087086,-0.519180353049,0.581414285714,-6.16261814,0.607328455302,0.625104545455
run3_11_run3.dat,-4.37854402,[ 3.16210938  3.46875     0.90820312  0.56738281  0.04394531  0.55371094 0.38769531],-0.670249809632,0.681417741935,-1.83511288,-0.911564802222,0.76934,-2.63081936,-0.475201238105,0.534537931034,-5.69692949,-0.519278592887,0.580603571429,-7.35131436,0.61222796759,0.63274
run1_21_run4.dat,-4.00638488,[ 3.90234375  3.02832031  3.03320312  0.47363281  0.01269531  0.95019531 0.59570312],-0.680886815633,0.679451612903,-1.78013485,-0.915348738878,0.76934,-2.61440207,-0.473613994622,0.534503448276,-4.84314507,-0.512573461201,0.580873214286,-6.78785755,0.623407340651,0.634802727273
run3_21_run0.dat,-4.06070605,[ 3.58691406  2.79589844  2.32519531  0.421875    0.01855469  0.95898438 0.46484375],-0.677483272922,0.679767741935,-1.73727476,-0.915574500067,0.768475,-2.61986002,-0.477000438282,0.537355172414,-4.91331606,-0.511947317764,0.581475,-6.97237334,0.617992788769,0.628430909091
run2_11_run3.dat,-3.96389538,[ 3.58300781  1.97460938  2.703125    1.9765625   0.01269531  0.73730469 0.44433594],-0.673269838945,0.681855645161,-1.67523619,-0.914193708864,0.77053,-2.63756133,-0.474242989139,0.535748275862,-4.75845315,-0.519743189643,0.579810714286,-6.78433086,0.61580683013,0.627080909091
run3_21_run2.dat,-3.60110005,[ 3.76367188  0.54492188  2.99609375  1.4765625   0.14355469  0.64550781 0.24316406],-0.648818836732,0.678268548387,-1.31718499,-0.909267676857,0.778145,-2.67949977,-0.479407128486,0.537355172414,-3.85741013,-0.523657075867,0.580382142857,-6.55030532,0.585282588811,0.620624545455
run1_21_run2.dat,-4.54615518,[ 3.12695312  2.73535156  3.33398438  1.75        0.06054688  0.83007812 0.35644531],-0.673971613318,0.680026612903,-1.93419353,-0.917098446825,0.775655,-2.63704709,-0.473426091415,0.541374137931,-5.7778628,-0.518227232221,0.574814285714,-7.83551732,0.614328421517,0.629704545455
run3_21_run1.dat,-3.54244904,[ 3.21289062  0.0703125   3.94335938  0.68847656  0.08691406  0.55859375 0.24316406],-0.655008832963,0.67825483871,-1.33764911,-0.911452076213,0.77913,-2.69469839,-0.478037300778,0.534437931034,-3.70758294,-0.528904452057,0.576778571429,-6.42986574,0.59370172725,0.619715454545
